Main Control,Related Controls,n_RelatedControls
AU-6,SI-7,1
AU-7,AU-12,1
AU-7,AU-2,1
AU-7,AU-6,1
AU-8,AU-12,1
AU-8,AU-3,1
AU-9,AC-3,1
AU-9,AC-5,1
AU-9,AC-6,1
AU-9,AU-10,1
AU-9,AU-11,1
AU-9,AU-4,1
AU-9,AU-5,1
AU-9,MP-2,1
AU-9,MP-4,1
AU-9,PE-2,1
AU-9,PE-3,1
AU-9,PE-6,1
AU-9,SC-12,1
AU-9,SC-13,1
CA-1,PM-9,1
CA-2,CA-5,1
CA-2,CA-6,1
CA-2,CA-7,1
CA-2,PE-3,1
CA-2,PM-9,1
CA-2,RA-5,1
CA-2,SA-11,1
CA-2,SA-12,1
CA-2,SI-2,1
CA-2,SI-4,1
CA-3,AC-20,1
CA-3,AC-3,1
CA-3,AC-4,1
CA-3,AU-12,1
CA-3,AU-16,1
CA-3,AU-2,1
CA-3,CA-7,1
CA-3,CM-7,1
CA-3,IA-3,1
CA-3,SA-9,1
CA-3,SC-7,1
CA-3,SI-4,1
CA-5,CA-2,1
CA-5,CA-7,1
CA-5,CM-4,1
CA-5,PM-4,1
CA-6,CA-2,1
CA-6,CA-7,1
CA-6,PM-10,1
CA-6,PM-9,1
CA-7,CA-2,1
CA-7,CA-5,1
CA-7,CA-6,1
CA-7,CM-3,1
CA-7,CM-4,1
CA-7,PM-6,1
CA-7,PM-9,1
CA-7,RA-5,1
CA-7,SA-11,1
CA-7,SA-12,1
CA-7,SI-2,1
CA-7,SI-4,1
CA-8,CA-2,1
CA-8,SA-12,1
CA-9,AC-18,1
CA-9,AC-19,1
CA-9,AC-3,1
CA-9,AC-4,1
CA-9,AU-12,1
CA-9,AU-2,1
CA-9,CA-7,1
CA-9,CM-2,1
CA-9,IA-3,1
CA-9,SC-7,1
CA-9,SI-4,1
CM-1,PM-9,1
CM-10,AC-17,1
CM-10,CM-8,1
CM-10,SC-7,1
CM-11,AC-3,1
CM-11,CA-7,1
CM-11,CM-2,1
CM-11,CM-3,1
CM-11,CM-5,1
CM-11,CM-6,1
CM-11,CM-7,1
CM-11,PL-4,1
CM-11,SI-4,1
CM-2,CM-3,1
CM-2,CM-5,1
CM-2,CM-6,1
CM-2,CM-7,1
CM-2,CM-8,1
CM-2,CM-9,1
CM-2,PM-5,1
CM-2,PM-7,1
CM-2,RA-5,1
CM-2,SA-10,1
CM-3,CA-7,1
CM-3,CM-2,1
CM-3,CM-4,1
CM-3,CM-5,1
CM-3,CM-6,1
CM-3,CM-9,1
CM-3,SA-10,1
CM-3,SC-13,1
CM-3,SI-12,1
CM-3,SI-2,1
CM-4,CA-2,1
CM-4,CA-7,1
CM-4,CM-3,1
CM-4,CM-9,1
CM-4,SA-10,1
CM-4,SA-11,1
CM-4,SA-4,1
CM-4,SA-5,1
CM-4,SC-3,1
CM-4,SC-7,1
CM-4,SI-2,1
CM-5,AC-2,1
CM-5,AC-3,1
CM-5,AC-6,1
CM-5,AU-12,1
CM-5,AU-2,1
CM-5,AU-7,1
CM-5,CM-5,1
CM-5,CM-6,1
CM-5,CM-7,1
CM-5,PE-3,1
CM-5,PE-6,1
CM-5,PE-8,1
CM-5,SC-13,1
CM-5,SI-7,1
CM-6,AC-19,1
CM-6,CA-7,1
CM-6,CM-2,1
CM-6,CM-3,1
CM-6,CM-4,1
CM-6,CM-7,1
CM-6,IR-4,1
CM-6,SI-4,1
CM-6,SI-7,1
CM-7,AC-18,1
CM-7,AC-6,1
CM-7,CM-6,1
CM-7,CM-7,1
CM-7,IA-2,1
CM-7,RA-5,1
CM-7,SA-10,1
CM-7,SA-5,1
CM-7,SC-34,1
CM-7,SC-7,1
CM-7,SI-7,1
CM-8,AC-17,1
CM-8,AC-18,1
CM-8,AC-19,1
CM-8,CA-7,1
CM-8,CM-2,1
CM-8,CM-6,1
CM-8,PM-5,1
CM-8,RA-5,1
CM-8,SI-3,1
CM-8,SI-4,1
CM-9,CM-2,1
CM-9,CM-3,1
CM-9,CM-4,1
CM-9,CM-5,1
CM-9,CM-8,1
CM-9,SA-10,1
CP-1,PM-9,1
CP-10,CA-2,1
CP-10,CA-6,1
CP-10,CA-7,1
CP-10,CM-2,1
CP-10,CP-2,1
CP-10,CP-6,1
CP-10,CP-7,1
CP-10,CP-9,1
CP-10,SC-24,1
CP-2,AC-14,1
CP-2,CP-10,1
CP-2,CP-6,1
CP-2,CP-7,1
CP-2,CP-8,1
CP-2,CP-9,1
CP-2,IR-4,1
CP-2,IR-8,1
CP-2,MP-2,1
CP-2,MP-4,1
CP-2,MP-5,1
CP-2,PM-11,1
CP-2,PM-8,1
CP-2,SA-14,1
CP-2,SA-15,1
CP-3,AT-2,1
CP-3,AT-3,1
CP-3,CP-2,1
CP-3,IR-2,1
CP-4,CP-2,1
CP-4,CP-3,1
CP-4,CP-7,1
CP-4,IR-3,1
CP-4,IR-8,1
CP-4,PM-8,1
CP-6,CP-10,1
CP-6,CP-2,1
CP-6,CP-7,1
CP-6,CP-9,1
CP-6,MP-4,1
CP-7,CM-2,1
CP-7,CM-6,1
CP-7,CP-10,1
CP-7,CP-2,1
CP-7,CP-6,1
CP-7,CP-8,1
CP-7,CP-9,1
CP-7,MA-6,1
CP-8,CP-2,1
CP-8,CP-6,1
CP-8,CP-7,1
CP-9,CM-2,1
CP-9,CM-8,1
CP-9,CP-2,1
CP-9,CP-6,1
CP-9,MP-4,1
CP-9,MP-5,1
CP-9,SC-13,1
IA-1,PM-9,1
IA-2,AC-14,1
IA-2,AC-17,1
IA-2,AC-18,1
IA-2,AC-2,1
IA-2,AC-3,1
IA-2,AU-2,1
IA-2,IA-4,1
IA-2,IA-5,1
IA-2,IA-8,1
IA-2,PE-3,1
IA-2,SA-4,1
IA-3,AC-17,1
IA-3,AC-18,1
IA-3,AC-19,1
IA-3,CA-3,1
IA-3,IA-4,1
IA-3,IA-5,1
IA-4,AC-2,1
IA-4,AT-2,1
IA-4,IA-2,1
IA-4,IA-3,1
IA-4,IA-5,1
IA-4,IA-8,1
IA-4,SC-37,1
IA-5,AC-2,1
IA-5,AC-3,1
IA-5,AC-6,1
IA-5,CA-2,1
IA-5,CA-7,1
IA-5,CM-6,1
IA-5,IA-2,1
IA-5,IA-4,1
IA-5,IA-8,1
IA-5,PL-4,1
IA-5,PS-5,1
IA-5,PS-6,1
IA-5,RA-5,1
IA-5,SC-12,1
IA-5,SC-13,1
IA-5,SC-17,1
IA-5,SC-28,1
IA-6,PE-18,1
IA-7,SC-12,1
IA-7,SC-13,1
IA-8,AC-14,1
IA-8,AC-17,1
IA-8,AC-18,1
IA-8,AC-2,1
IA-8,IA-2,1
IA-8,IA-4,1
IA-8,IA-5,1
IA-8,MA-4,1
IA-8,PE-3,1
IA-8,RA-3,1
IA-8,SA-12,1
IA-8,SC-8,1
IR-1,PM-9,1
IR-2,AT-3,1
IR-2,CP-3,1
IR-2,IR-8,1
IR-3,CP-4,1
IR-3,IR-8,1
IR-4,AC-16,1
IR-4,AC-2,1
IR-4,AC-4,1
IR-4,AU-6,1
IR-4,CM-2,1
IR-4,CM-3,1
IR-4,CM-4,1
IR-4,CM-6,1
IR-4,CP-2,1
IR-4,CP-4,1
IR-4,IR-2,1
IR-4,IR-3,1
IR-4,IR-8,1
IR-4,PE-6,1
IR-4,SC-5,1
IR-4,SC-7,1
IR-4,SI-3,1
IR-4,SI-4,1
IR-4,SI-7,1
IR-5,AU-6,1
IR-5,AU-7,1
IR-5,IR-4,1
IR-5,IR-8,1
IR-5,PE-6,1
IR-5,SC-5,1
IR-5,SC-7,1
IR-5,SI-3,1
IR-5,SI-4,1
IR-5,SI-7,1
IR-6,IR-4,1
IR-6,IR-5,1
IR-6,IR-7,1
IR-6,IR-8,1
IR-7,AT-2,1
IR-7,IR-4,1
IR-7,IR-6,1
IR-7,IR-8,1
IR-7,SA-9,1
IR-8,MP-2,1
IR-8,MP-4,1
IR-8,MP-5,1
MA-1,PM-9,1
MA-2,CA-7,1
MA-2,CM-3,1
MA-2,CM-4,1
MA-2,MA-3,1
MA-2,MA-4,1
MA-2,MP-6,1
MA-2,PE-16,1
MA-2,SA-12,1
MA-2,SI-2,1
MA-3,MA-2,1
MA-3,MA-5,1
MA-3,MP-6,1
MA-3,SI-3,1
MA-3,SI-7,1
MA-4,AC-17,1
MA-4,AC-2,1
MA-4,AC-3,1
MA-4,AC-6,1
MA-4,AU-2,1
MA-4,AU-3,1
MA-4,IA-2,1
MA-4,IA-4,1
MA-4,IA-5,1
MA-4,IA-8,1
MA-4,MA-2,1
MA-4,MA-3,1
MA-4,MA-5,1
MA-4,MP-6,1
MA-4,PL-2,1
MA-4,SA-12,1
MA-4,SC-10,1
MA-4,SC-13,1
MA-4,SC-17,1
MA-4,SC-7,1
MA-4,SC-8,1
MA-4,SI-3,1
MA-4,SI-7,1
MA-5,AC-2,1
MA-5,IA-8,1
MA-5,MP-2,1
MA-5,MP-6,1
MA-5,PE-2,1
MA-5,PE-3,1
MA-5,PE-4,1
MA-5,PL-2,1
MA-5,RA-3,1
MA-6,CM-8,1
MA-6,CP-2,1
MA-6,CP-7,1
MA-6,SA-14,1
MA-6,SA-15,1
MP-1,PM-9,1
MP-2,AC-3,1
MP-2,IA-2,1
MP-2,MP-4,1
MP-2,PE-2,1
MP-2,PE-3,1
MP-2,PL-2,1
MP-3,AC-16,1
MP-3,PL-2,1
MP-3,RA-3,1
MP-4,CP-6,1
MP-4,CP-9,1
MP-4,MP-2,1
MP-4,MP-7,1
MP-4,PE-3,1
MP-5,AC-19,1
MP-5,CP-9,1
MP-5,MP-2,1
MP-5,MP-3,1
MP-5,MP-4,1
MP-5,RA-3,1
MP-5,SC-13,1
MP-5,SC-28,1
MP-5,SC-8,1
MP-6,MA-2,1
MP-6,MA-4,1
MP-6,RA-3,1
MP-6,SC-4,1
MP-6,SI-12,1
MP-6,SI-3,1
MP-7,AC-19,1
PE-1,PM-9,1
PE-10,PE-15,1
PE-11,AT-3,1
PE-11,CP-2,1
PE-11,CP-7,1
PE-12,CP-2,1
PE-12,CP-7,1
PE-14,AT-3,1
PE-15,AT-3,1
PE-16,CM-3,1
PE-16,MA-2,1
PE-16,MA-3,1
PE-16,MP-5,1
PE-16,SA-12,1
PE-17,AC-17,1
PE-17,CP-7,1
PE-18,CP-2,1
PE-18,PE-19,1
PE-18,RA-3,1
PE-2,PE-3,1
PE-2,PE-4,1
PE-2,PS-3,1
PE-3,AU-2,1
PE-3,AU-6,1
PE-3,MP-2,1
PE-3,MP-4,1
PE-3,PE-2,1
PE-3,PE-4,1
PE-3,PE-5,1
PE-3,PS-2,1
PE-3,PS-3,1
PE-3,RA-3,1
PE-4,MP-2,1
PE-4,MP-4,1
PE-4,PE-2,1
PE-4,PE-3,1
PE-4,PE-5,1
PE-4,SC-7,1
PE-4,SC-8,1
PE-5,PE-18,1
PE-5,PE-2,1
PE-5,PE-3,1
PE-5,PE-4,1
PE-6,CA-7,1
PE-6,IR-4,1
PE-6,IR-8,1
PE-6,PS-2,1
PE-6,PS-3,1
PE-9,PE-4,1
PL-1,PM-9,1
PL-2,AC-14,1
PL-2,AC-17,1
PL-2,AC-2,1
PL-2,AC-20,1
PL-2,AC-6,1
PL-2,CA-2,1
PL-2,CA-3,1
PL-2,CA-7,1
PL-2,CM-9,1
PL-2,CP-2,1
PL-2,CP-4,1
PL-2,IR-4,1
PL-2,IR-8,1
PL-2,MA-4,1
PL-2,MA-5,1
PL-2,MP-2,1
PL-2,MP-4,1
PL-2,MP-5,1
PL-2,PL-7,1
PL-2,PM-1,1
PL-2,PM-11,1
PL-2,PM-7,1
PL-2,PM-8,1
PL-2,PM-9,1
PL-2,SA-17,1
PL-2,SA-5,1
PL-4,AC-17,1
PL-4,AC-18,1
PL-4,AC-19,1
PL-4,AC-2,1
PL-4,AC-20,1
PL-4,AC-6,1
PL-4,AC-8,1
PL-4,AC-9,1
PL-4,AT-2,1
PL-4,AT-3,1
PL-4,CM-11,1
PL-4,IA-2,1
PL-4,IA-4,1
PL-4,IA-5,1
PL-4,MP-7,1
PL-4,PS-6,1
PL-4,PS-8,1
PL-4,SA-5,1
PL-8,CM-2,1
PL-8,CM-6,1
PL-8,PL-2,1
PL-8,PM-7,1
PL-8,SA-17,1
PL-8,SA-5,1
PS-1,PM-9,1
PS-2,AT-3,1
PS-2,PL-2,1
PS-2,PS-3,1
PS-3,AC-2,1
PS-3,IA-4,1
PS-3,PE-2,1
PS-3,PS-2,1
PS-4,AC-2,1
PS-4,IA-4,1
PS-4,PE-2,1
PS-4,PS-5,1
PS-4,PS-6,1
PS-5,AC-2,1
PS-5,IA-4,1
PS-5,PE-2,1
PS-5,PS-4,1
PS-6,PL-4,1
PS-6,PS-2,1
PS-6,PS-3,1
PS-6,PS-4,1
PS-6,PS-8,1
PS-7,PS-2,1
PS-7,PS-3,1
PS-7,PS-4,1
PS-7,PS-5,1
PS-7,PS-6,1
PS-7,SA-21,1
PS-7,SA-9,1
PS-8,PL-4,1
PS-8,PS-6,1
RA-1,PM-9,1
RA-2,CM-8,1
RA-2,MP-4,1
RA-2,RA-3,1
RA-2,SC-7,1
RA-3,PM-9,1
RA-3,RA-2,1
RA-5,AU-13,1
RA-5,AU-6,1
RA-5,CA-2,1
RA-5,CA-7,1
RA-5,CM-4,1
RA-5,CM-6,1
RA-5,IR-4,1
RA-5,IR-5,1
RA-5,RA-2,1
RA-5,RA-3,1
RA-5,SA-11,1
RA-5,SI-2,1
RA-5,SI-4,1
RA-5,SI-5,1
RA-5,SI-7,1
SA-1,PM-9,1
SA-10,CM-3,1
SA-10,CM-4,1
SA-10,CM-9,1
SA-10,SA-12,1
SA-10,SI-2,1
SA-10,SI-7,1
SA-11,CA-2,1
SA-11,CM-4,1
SA-11,PM-15,1
SA-11,RA-5,1
SA-11,SA-3,1
SA-11,SA-4,1
SA-11,SA-5,1
SA-11,SI-2,1
SA-12,AT-3,1
SA-12,CM-8,1
SA-12,IR-4,1
SA-12,PE-16,1
SA-12,PL-8,1
SA-12,SA-10,1
SA-12,SA-14,1
SA-12,SA-15,1
SA-12,SA-18,1
SA-12,SA-19,1
SA-12,SA-3,1
SA-12,SA-4,1
SA-12,SA-8,1
SA-12,SC-29,1
SA-12,SC-30,1
SA-12,SC-38,1
SA-12,SI-7,1
SA-15,SA-3,1
SA-15,SA-8,1
SA-16,AT-2,1
SA-16,AT-3,1
SA-16,SA-5,1
SA-17,PL-8,1
SA-17,PM-7,1
SA-17,SA-3,1
SA-17,SA-8,1
SA-2,PM-11,1
SA-2,PM-3,1
SA-3,AT-3,1
SA-3,PM-7,1
SA-3,SA-8,1
SA-4,CA-7,1
SA-4,CM-6,1
SA-4,CM-7,1
SA-4,IA-2,1
SA-4,IA-8,1
SA-4,PL-2,1
SA-4,PS-7,1
SA-4,SA-11,1
SA-4,SA-12,1
SA-4,SA-3,1
SA-4,SA-8,1
SA-4,SA-9,1
SA-5,CM-6,1
SA-5,CM-8,1
SA-5,PL-2,1
SA-5,PL-4,1
SA-5,PS-2,1
SA-5,SA-3,1
SA-5,SA-4,1
SA-8,PM-7,1
SA-8,SA-17,1
SA-8,SA-3,1
SA-8,SA-4,1
SA-8,SC-2,1
SA-8,SC-3,1
SA-9,CA-3,1
SA-9,CA-6,1
SA-9,CM-7,1
SA-9,IR-7,1
SA-9,PS-7,1
SA-9,RA-3,1
SC-1,PM-9,1
SC-12,SC-13,1
SC-12,SC-17,1
SC-13,AC-17,1
SC-13,AC-18,1
SC-13,AC-2,1
SC-13,AC-3,1
SC-13,AC-7,1
SC-13,AU-10,1
SC-13,AU-9,1
SC-13,CM-11,1
SC-13,CP-9,1
SC-13,IA-3,1
SC-13,IA-7,1
SC-13,MA-4,1
SC-13,MP-2,1
SC-13,MP-4,1
SC-13,MP-5,1
SC-13,SA-4,1
SC-13,SC-12,1
SC-13,SC-28,1
SC-13,SC-8,1
SC-13,SI-7,1
SC-15,AC-21,1
SC-17,SC-12,1
SC-18,AU-12,1
SC-18,AU-2,1
SC-18,CM-2,1
SC-18,CM-6,1
SC-18,SI-3,1
SC-19,CM-6,1
SC-19,SC-15,1
SC-19,SC-7,1
SC-2,SA-4,1
SC-2,SA-8,1
SC-2,SC-3,1
SC-20,AU-10,1
SC-20,SC-12,1
SC-20,SC-13,1
SC-20,SC-21,1
SC-20,SC-22,1
SC-20,SC-8,1
SC-21,SC-20,1
SC-21,SC-22,1
SC-22,SC-2,1
SC-22,SC-20,1
SC-22,SC-21,1
SC-22,SC-24,1
SC-23,SC-10,1
SC-23,SC-11,1
SC-23,SC-8,1
SC-24,CP-10,1
SC-24,CP-12,1
SC-24,CP-2,1
SC-24,SC-22,1
SC-24,SC-7,1
SC-28,AC-19,1
SC-28,AC-3,1
SC-28,AC-6,1
SC-28,CA-7,1
SC-28,CM-3,1
SC-28,CM-5,1
SC-28,CM-6,1
SC-28,PE-3,1
SC-28,SC-12,1
SC-28,SC-13,1
SC-28,SC-8,1
SC-28,SI-3,1
SC-28,SI-7,1
SC-3,AC-3,1
SC-3,AC-6,1
SC-3,SA-13,1
SC-3,SA-4,1
SC-3,SA-5,1
SC-3,SA-8,1
SC-3,SC-2,1
SC-3,SC-39,1
SC-3,SC-7,1
SC-39,AC-3,1
SC-39,AC-4,1
SC-39,AC-6,1
SC-39,SA-4,1
SC-39,SA-5,1
SC-39,SA-8,1
SC-39,SC-2,1
SC-39,SC-3,1
SC-4,AC-3,1
SC-4,AC-4,1
SC-4,MP-6,1
SC-5,SC-6,1
SC-5,SC-7,1
SC-7,AC-17,1
SC-7,AC-3,1
SC-7,AC-4,1
SC-7,AU-2,1
SC-7,CA-3,1
SC-7,CA-9,1
SC-7,CM-7,1
SC-7,CP-2,1
SC-7,CP-8,1
SC-7,IR-4,1
SC-7,RA-3,1
SC-7,SA-8,1
SC-7,SC-13,1
SC-7,SC-2,1
SC-7,SC-24,1
SC-7,SC-5,1
SC-7,SC-8,1
SC-7,SI-3,1
SC-8,AC-17,1
SC-8,PE-4,1
SC-8,SC-13,1
SI-1,PM-9,1
SI-11,AU-2,1
SI-11,AU-3,1
SI-11,SC-31,1
SI-12,AC-16,1
SI-12,AU-11,1
SI-12,AU-5,1
SI-12,MP-2,1
SI-12,MP-4,1
SI-16,AC-25,1
SI-16,SC-3,1
SI-2,CA-2,1
SI-2,CA-7,1
SI-2,CM-3,1
SI-2,CM-5,1
SI-2,CM-6,1
SI-2,CM-8,1
SI-2,IR-4,1
SI-2,MA-2,1
SI-2,RA-5,1
SI-2,SA-10,1
SI-2,SA-11,1
SI-2,SI-11,1
SI-2,SI-4,1
SI-3,AU-2,1
SI-3,CM-3,1
SI-3,MP-2,1
SI-3,SA-12,1
SI-3,SA-13,1
SI-3,SA-4,1
SI-3,SA-8,1
SI-3,SC-26,1
SI-3,SC-44,1
SI-3,SC-7,1
SI-3,SI-2,1
SI-3,SI-4,1
SI-3,SI-7,1
SI-4,AC-17,1
SI-4,AC-18,1
SI-4,AC-3,1
SI-4,AC-4,1
SI-4,AC-6,1
SI-4,AC-8,1
SI-4,AU-12,1
SI-4,AU-2,1
SI-4,AU-5,1
SI-4,AU-7,1
SI-4,AU-9,1
SI-4,CA-7,1
SI-4,CM-7,1
SI-4,IA-3,1
SI-4,IR-4,1
SI-4,PE-3,1
SI-4,PE-6,1
SI-4,RA-5,1
SI-4,SA-5,1
SI-4,SA-9,1
SI-4,SC-26,1
SI-4,SC-35,1
SI-4,SC-7,1
SI-4,SI-3,1
SI-4,SI-7,1
SI-5,SI-2,1
SI-6,CA-7,1
SI-6,CM-6,1
SI-7,IR-4,1
SI-7,IR-5,1
SI-7,SA-12,1
SI-7,SA-5,1
SI-7,SC-13,1
SI-7,SC-8,1
SI-7,SI-3,1
SI-7,SI-4,1
SI-8,AT-2,1
SI-8,AT-3,1
SI-8,AU-3,1
SI-8,SC-5,1
SI-8,SC-7,1
SI-8,SI-2,1
SI-8,SI-3,1
SI-8,SI-7,1
