Source,Target,Weight
AU-2,SI-4,2
AU-3,AU-6,1
AU-3,AU-7,1
AU-3,AU-8,2
AU-3,MA-4,1
AU-3,SI-11,2
AU-3,SI-8,1
AU-4,AU-5,2
AU-4,AU-6,1
AU-4,AU-7,1
AU-4,AU-9,1
AU-4,SI-4,1
AU-5,AU-9,1
AU-5,SI-12,2
AU-5,SI-4,1
AU-6,AU-7,2
AU-6,CA-7,1
AU-6,CM-10,1
AU-6,CM-11,1
AU-6,CM-5,3
AU-6,IA-3,1
AU-6,IA-5,1
AU-6,IR-4,3
AU-6,IR-5,2
AU-6,IR-6,1
AU-6,MA-4,1
AU-6,MP-4,1
AU-6,PE-14,1
AU-6,PE-16,1
AU-6,PE-3,2
AU-6,PE-6,1
AU-6,PM-7,1
AU-6,RA-5,3
AU-6,SC-18,1
AU-6,SC-19,1
AU-6,SC-7,1
AU-6,SI-3,1
AU-6,SI-4,3
AU-6,SI-7,1
AU-7,CM-5,1
AU-7,IR-5,1
AU-7,SI-4,1
AU-9,MP-2,1
AU-9,MP-4,1
AU-9,PE-2,1
AU-9,PE-3,1
AU-9,PE-6,1
AU-9,SC-12,1
AU-9,SC-13,2
AU-9,SI-4,1
CA-1,PM-9,1
CA-2,CA-5,2
CA-2,CA-6,2
CA-2,CA-7,2
CA-2,CA-8,1
CA-2,CM-4,1
CA-2,CP-10,1
CA-2,IA-5,1
CA-2,PE-3,1
CA-2,PL-2,1
CA-2,PM-9,1
CA-2,RA-5,2
CA-2,SA-11,2
CA-2,SA-12,1
CA-2,SI-2,2
CA-2,SI-4,1
CA-3,CA-7,1
CA-3,CM-7,1
CA-3,IA-3,2
CA-3,PL-2,1
CA-3,SA-9,2
CA-3,SC-7,2
CA-3,SI-4,1
CA-5,CA-7,2
CA-5,CM-4,1
CA-5,PM-4,1
CA-6,CA-7,2
CA-6,CP-10,1
CA-6,PM-10,1
CA-6,PM-9,1
CA-6,SA-9,1
CA-7,CA-9,1
CA-7,CM-11,1
CA-7,CM-3,2
CA-7,CM-4,2
CA-7,CM-6,1
CA-7,CM-8,1
CA-7,CP-10,1
CA-7,IA-5,1
CA-7,MA-2,1
CA-7,PE-6,1
CA-7,PL-2,1
CA-7,PM-6,1
CA-7,PM-9,1
CA-7,RA-5,2
CA-7,SA-11,1
CA-7,SA-12,1
CA-7,SA-4,1
CA-7,SC-28,1
CA-7,SI-2,2
CA-7,SI-4,2
CA-7,SI-6,1
CA-8,SA-12,1
CA-9,CM-2,1
CA-9,IA-3,1
CA-9,SC-7,2
CA-9,SI-4,1
CM-1,PM-9,1
CM-10,CM-8,1
CM-10,SC-7,1
CM-11,CM-2,1
CM-11,CM-3,1
CM-11,CM-5,1
CM-11,CM-6,1
CM-11,CM-7,1
CM-11,PL-4,2
CM-11,SC-13,1
CM-11,SI-4,1
CM-2,CM-3,2
CM-2,CM-5,1
CM-2,CM-6,2
CM-2,CM-7,3
CM-2,CM-8,2
CM-2,CM-9,2
CM-2,CP-10,1
CM-2,CP-7,1
CM-2,CP-9,1
CM-2,IR-4,1
CM-2,PL-8,1
CM-2,PM-5,1
CM-2,PM-7,1
CM-2,RA-5,1
CM-2,SA-10,1
CM-2,SC-18,1
CM-3,CM-4,2
CM-3,CM-5,3
CM-3,CM-6,2
CM-3,CM-9,2
CM-3,IR-4,1
CM-3,MA-2,1
CM-3,PE-16,1
CM-3,SA-10,2
CM-3,SC-13,1
CM-3,SC-28,1
CM-3,SI-12,1
CM-3,SI-2,2
CM-3,SI-3,1
CM-4,CM-6,1
CM-4,CM-9,2
CM-4,IR-4,1
CM-4,MA-2,1
CM-4,RA-5,1
CM-4,SA-10,2
CM-4,SA-11,2
CM-4,SA-4,1
CM-4,SA-5,1
CM-4,SC-3,1
CM-4,SC-7,1
CM-4,SI-2,1
CM-5,CM-5,1
CM-5,CM-6,1
CM-5,CM-7,1
CM-5,CM-9,1
CM-5,PE-3,1
CM-5,PE-6,1
CM-5,PE-8,1
CM-5,SC-13,1
CM-5,SC-28,1
CM-5,SI-2,1
CM-5,SI-7,1
CM-6,CM-7,2
CM-6,CM-8,1
CM-6,CP-7,1
CM-6,IA-5,1
CM-6,IR-4,2
CM-6,PL-8,1
CM-6,RA-5,1
CM-6,SA-4,1
CM-6,SA-5,1
CM-6,SC-18,1
CM-6,SC-19,1
CM-6,SC-28,1
CM-6,SI-2,1
CM-6,SI-4,1
CM-6,SI-6,1
CM-6,SI-7,1
CM-7,CM-7,1
CM-7,CM-8,2
CM-7,IA-2,1
CM-7,PM-5,2
CM-7,RA-5,1
CM-7,SA-10,1
CM-7,SA-4,1
CM-7,SA-5,1
CM-7,SA-9,1
CM-7,SC-34,1
CM-7,SC-7,2
CM-7,SI-4,1
CM-7,SI-7,1
CM-8,CM-9,1
CM-8,CP-9,1
CM-8,MA-6,1
CM-8,PM-5,1
CM-8,RA-2,1
CM-8,RA-5,1
CM-8,SA-12,1
CM-8,SA-5,1
CM-8,SI-2,1
CM-8,SI-3,1
CM-8,SI-4,1
CM-8,SI-7,2
CM-9,PL-2,1
CM-9,SA-10,2
CP-1,PM-9,1
CP-10,CP-2,2
CP-10,CP-6,2
CP-10,CP-7,2
CP-10,CP-9,1
CP-10,SC-24,2
CP-12,SC-24,1
CP-2,CP-3,1
CP-2,CP-4,1
CP-2,CP-6,2
CP-2,CP-7,2
CP-2,CP-8,2
CP-2,CP-9,2
CP-2,IR-4,2
CP-2,IR-8,1
CP-2,MA-6,1
CP-2,MP-2,1
CP-2,MP-4,1
CP-2,MP-5,1
CP-2,PE-11,1
CP-2,PE-12,4
CP-2,PE-18,1
CP-2,PL-2,1
CP-2,PM-11,1
CP-2,PM-8,1
CP-2,SA-14,1
CP-2,SA-15,1
CP-2,SC-24,1
CP-2,SC-7,1
CP-3,CP-4,1
CP-3,IR-2,2
CP-4,CP-7,1
CP-4,CP-9,2
CP-4,IR-3,2
CP-4,IR-4,1
CP-4,IR-8,1
CP-4,PL-2,1
CP-4,PM-8,1
CP-6,CP-7,2
CP-6,CP-8,1
CP-6,CP-9,2
CP-6,MP-4,2
CP-6,RA-3,2
CP-7,CP-8,2
CP-7,CP-9,1
CP-7,MA-6,2
CP-7,PE-11,1
CP-7,PE-12,1
CP-7,PE-17,1
CP-7,RA-3,2
CP-8,SC-7,1
CP-9,MP-4,2
CP-9,MP-5,2
CP-9,SC-13,2
IA-1,PM-9,1
IA-2,IA-4,2
IA-2,IA-5,2
IA-2,IA-8,2
IA-2,MA-4,1
IA-2,MP-2,1
IA-2,PE-3,1
IA-2,PL-4,1
IA-2,SA-4,2
IA-3,IA-4,2
IA-3,IA-5,1
IA-3,SC-13,1
IA-3,SI-4,1
IA-4,IA-5,2
IA-4,IA-8,2
IA-4,MA-4,1
IA-4,PL-4,1
IA-4,PS-3,1
IA-4,PS-4,1
IA-4,PS-5,1
IA-4,SC-37,1
IA-5,IA-6,2
IA-5,IA-8,2
IA-5,MA-4,1
IA-5,PL-4,2
IA-5,PS-5,1
IA-5,PS-6,1
IA-5,RA-5,1
IA-5,SC-12,1
IA-5,SC-13,1
IA-5,SC-17,1
IA-5,SC-28,1
IA-6,PE-18,1
IA-7,SC-12,1
IA-7,SC-13,2
IA-8,MA-4,2
IA-8,MA-5,1
IA-8,PE-3,1
IA-8,RA-3,1
IA-8,SA-12,1
IA-8,SA-4,4
IA-8,SC-8,1
IR-1,PM-9,1
IR-2,IR-4,1
IR-2,IR-8,1
IR-3,IR-4,1
IR-3,IR-8,1
IR-4,IR-5,1
IR-4,IR-6,1
IR-4,IR-7,1
IR-4,IR-8,1
IR-4,PE-6,2
IR-4,PL-2,1
IR-4,RA-5,1
IR-4,SA-12,1
IR-4,SC-5,1
IR-4,SC-7,2
IR-4,SI-2,1
IR-4,SI-3,1
IR-4,SI-4,2
IR-4,SI-7,2
IR-5,IR-6,1
IR-5,IR-8,1
IR-5,PE-6,1
IR-5,RA-5,1
IR-5,SC-5,1
IR-5,SC-7,1
IR-5,SI-3,1
IR-5,SI-4,1
IR-5,SI-7,2
IR-6,IR-7,2
IR-6,IR-8,1
IR-7,IR-8,1
IR-7,SA-9,2
IR-8,MP-2,1
IR-8,MP-4,1
IR-8,MP-5,1
IR-8,PE-6,1
IR-8,PL-2,1
MA-1,PM-9,1
MA-2,MA-3,2
MA-2,MA-4,2
MA-2,MP-6,2
MA-2,PE-16,2
MA-2,SA-12,1
MA-2,SI-2,2
MA-3,MA-4,1
MA-3,MA-5,1
MA-3,MP-6,1
MA-3,PE-16,1
MA-3,SI-3,1
MA-3,SI-7,1
MA-4,MA-5,1
MA-4,MP-6,2
MA-4,PL-2,2
MA-4,SA-12,1
MA-4,SC-10,1
MA-4,SC-13,2
MA-4,SC-17,1
MA-4,SC-7,1
MA-4,SC-8,1
MA-4,SI-3,1
MA-4,SI-7,1
MA-5,MP-2,1
MA-5,MP-6,1
MA-5,PE-2,1
MA-5,PE-3,1
MA-5,PE-4,1
MA-5,PL-2,2
MA-5,RA-3,1
MA-6,SA-14,1
MA-6,SA-15,1
MP-1,PM-9,1
MP-2,MP-4,2
MP-2,MP-5,1
MP-2,PE-2,1
MP-2,PE-3,2
MP-2,PE-4,1
MP-2,PL-2,2
MP-2,SC-13,1
MP-2,SI-12,1
MP-2,SI-3,1
MP-3,MP-5,1
MP-3,PL-2,1
MP-3,RA-3,1
MP-4,MP-5,1
MP-4,MP-7,1
MP-4,PE-3,2
MP-4,PE-4,1
MP-4,PL-2,1
MP-4,RA-2,1
MP-4,SC-13,1
MP-4,SI-12,1
MP-5,PE-16,1
MP-5,PL-2,1
MP-5,RA-3,1
MP-5,SC-13,2
MP-5,SC-28,1
MP-5,SC-8,1
MP-6,RA-3,1
MP-6,SC-4,2
MP-6,SI-12,1
MP-6,SI-3,1
MP-7,PL-4,3
PE-1,PM-9,1
PE-10,PE-15,1
PE-16,SA-12,2
PE-18,PE-19,1
PE-18,PE-5,1
PE-18,RA-3,1
PE-2,PE-3,2
PE-2,PE-4,2
PE-2,PE-5,1
PE-2,PS-3,2
PE-2,PS-4,1
PE-2,PS-5,1
PE-3,PE-4,2
PE-3,PE-5,2
PE-3,PS-2,1
PE-3,PS-3,1
PE-3,RA-3,1
PE-3,SC-28,1
PE-3,SI-4,1
PE-4,PE-5,2
PE-4,PE-9,1
PE-4,SC-7,1
PE-4,SC-8,2
